Country;Region;Owner;Variety;Number of bags;Bag weight;Aroma;Acidity;Sweetness;Total score;Price
Guatemala;nuevo oriente;juan luis alvarado romero;Pacas;275;200;7.5;7.83;10;83.25;3.712578925
Nicaragua;matagalpa;chris finch;Caturra;275;200;7.33;7;10;80.92;3.541668775
United States;kona;eileen koyanagi;Other;9;200;7.08;6.67;10;77.25;4.445682859
United States;kona;eileen koyanagi;Other;11;200;7.5;7.25;9.33;78.75;3.730108167
United States;kona;kona pacific farmers cooperative;Arusha;3;200;7.08;7.25;10;80.75;4.201230706
Guatemala;nuevo oriente;juan luis alvarado romero;Catuai;275;200;7.5;7.67;1.33;59.83;3.89353449
Mexico;juchique de ferrer;juan carlos garcia lopez;Bourbon;12;200;7.08;7.42;10;68.33;3.787318446
Honduras;marcala;cadexsa;Catuai;275;200;7;6.67;8;69.17;3.512793359
Honduras;marcala;cadexsa;Catuai;275;200;7;6.5;8;69.17;3.744237043
Honduras;marcala;cadexsa;Catuai;275;200;6.67;6.67;8;69.33;4.249496952
Mexico;veracruz;ricardo aaron sampieri marini;Bourbon;25;200;6.5;7.17;10;71;4.024156015
Mexico;tlatlauquitepec;jose armando norberto borzani lemini;Mundo Novo;10;200;6.92;6.92;10;71.08;3.934463251
Costa Rica;occidental;santa laura exportadora de cafe s.l.e.c. s.a.;Caturra;250;200;6.33;6.83;10;71.75;4.403998708
Mexico;coatepec;eugene holman pew;Typica;20;200;7.67;7.58;10;73.83;3.921284986
Mexico;xalapa;myrna roxana galvez gonzalez;Typica;100;200;6.92;7.33;10;74;3.870295206
Mexico;chocaman, veracruz;jorge octavio escamilla prado;Typica;20;200;7;6.83;10;74.33;4.009148414
Mexico;chiapas;nestor mendez gomez;Typica;275;200;7.08;7.5;10;74.67;3.980345024
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;6.75;7;10;74.75;4.318697121
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;6.75;7.17;10;74.75;3.680406017
Mexico;coatepec;pablo enrique martinez gama;Typica;20;200;7.33;7.25;10;74.83;3.897548151
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;14;200;7.08;7;10;74.92;4.420144338
Mexico;menglian;grupo juvenil magtayani, ac;Typica;43;200;7;6.92;10;75;3.505204112
Mexico;ocosingo;francisco hernandez lorenzo;Mundo Novo;100;200;7.17;6.83;10;75.17;3.927726487
Mexico;nan;montegrande;Other;36;200;7.25;7.08;10;75.17;4.277606536
Mexico;huautla de jimenez;martin jimenez casiano;Typica;18;200;7.17;7.17;10;75.17;3.637986018
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.92;7.58;8;75.58;3.420509254
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;6.67;7;10;75.58;3.444798103
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;11;200;7.42;7.08;10;76.17;4.088903457
Mexico;coatepec;homero antonio de anda andrade;Typica;10;200;7.17;7;10;76.42;3.887046873
Mexico;motozintla, chiapas;alejandro garcia palacios;Other;10;200;7.08;7.25;10;77.17;4.096970606
United States;kwanza norte province, angola;james moore;Other;1;200;7.33;7.42;7.42;77.17;4.221474047
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;10;200;7.33;7;10;77.33;3.829369894
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.08;7;10;77.42;3.930985509
Mexico;coatepec;stephany escamilla femat;Typica;23;200;7.17;6.75;10;77.5;4.492578999
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7;7.17;10;77.83;4.441706628
Mexico;petatlan;gustavo abarca solis;Typica;50;200;7.42;7;10;77.92;4.31575414
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.17;7.08;10;77.92;3.848236208
Costa Rica;occidental;santa laura exportadora de cafe s.l.e.c. s.a.;Caturra;250;200;7.5;7;10;77.92;4.128128497
Mexico;motozintla, chiapas;alejandro garcia palacios;Other;10;200;7.25;7;8;78;4.479348799
Mexico;cordoba;gustavo amieva gonzalez;Typica;320;200;7.08;7.25;10;78.08;3.526008542
Indonesia;ijen;sanjava coffee;Java;2;200;6.92;6.92;10;78.17;3.677301556
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.17;7.17;10;78.33;4.107668582
Guatemala;oriente;juan luis alvarado romero;Bourbon;250;200;7.17;7.25;10;78.33;4.071053116
Mexico;zaragoza itundujia;israel eduardo paz garcia;Typica;10;200;7.58;7.17;10;78.42;4.45227338
Mexico;los angeles;francisco ruiz nunez;Caturra;20;200;7.25;6.83;10;78.5;3.857151651
Mexico;tapachula;alfredo bojalil;Typica;250;200;7;7.33;10;78.58;3.704930276
Mexico;cofradia de suchitlan;organizaciones de productores de cafe colimense;Typica;50;200;7.92;7.92;10;78.58;3.631101107
